orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
63,2024,1,10,10/01/2023,Panamá,David,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
64,2024,1,13,13/01/2023,Chile,Valparaíso,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
65,2024,1,4,04/01/2023,México,Monterrey,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
66,2024,1,21,21/01/2023,México,Ciudad de México (CDMX),Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
67,2024,1,31,31/01/2023,Colombia,Bogotá,Tablets,Huawei MatePad Pro,649,0.14,4,2596,363.44
68,2024,1,7,07/01/2023,Uruguay,Salto,Smartphones,Oppo Find X3 Pro,1049,0.23,2,2098,482.54
69,2024,1,26,26/01/2023,Costa Rica,Limón,Auriculares,Samsung Galaxy Buds Pro,174,0.11,1,174,19.14
70,2024,1,11,11/01/2023,Costa Rica,Limón,Smartphones,OnePlus 9,799,0.32,1,799,255.68
71,2024,1,21,21/01/2023,Argentina,Buenos Aires,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
72,2024,1,8,08/01/2023,Chile,Valparaíso,Smartphones,OnePlus 9,799,0.32,5,3995,1278.4
73,2024,1,9,09/01/2023,Chile,Valparaíso,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
74,2024,1,27,27/01/2023,Chile,Concepción,Auriculares,Razer Opus,224,0.11,2,448,49.28
75,2024,1,6,06/01/2023,Colombia,Cali,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72
76,2024,1,9,09/01/2023,Ecuador,Quito,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
77,2024,1,6,06/01/2023,Brasil,São Paulo,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
78,2024,1,11,11/01/2023,Venezuela,Caracas,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39
79,2024,1,28,28/01/2023,Ecuador,Quito,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
80,2024,1,1,01/01/2023,Perú,Lima,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
81,2024,1,9,09/01/2023,Brasil,São Paulo,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44
82,2024,1,16,16/01/2023,Brasil,São Paulo,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699
83,2024,1,21,21/01/2023,México,Monterrey,Laptops,HP Spectre x360,1799,0.25,4,7196,1799
84,2024,1,25,25/01/2023,México,Ciudad de México (CDMX),Smartphones,Motorola Edge 20 Pro,849,0.2,2,1698,339.6
85,2024,1,16,16/01/2023,Uruguay,Salto,Auriculares,Jabra Elite 85t,224,0.21,3,672,141.12
86,2024,1,13,13/01/2023,Chile,Concepción,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
87,2024,1,2,02/01/2023,Paraguay,Encarnación,Auriculares,Jabra Elite 85t,224,0.21,1,224,47.04
88,2024,1,15,15/01/2023,Venezuela,Caracas,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
89,2024,1,21,21/01/2023,Ecuador,Guayaquil,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
90,2024,1,25,25/01/2023,Perú,Lima,Auriculares,Apple AirPods Pro,224,0.26,5,1120,291.2
91,2024,1,7,07/01/2023,México,Monterrey,Smartphones,Huawei P40 Pro,899,0.34,1,899,305.66
92,2024,1,27,27/01/2023,México,Ciudad de México (CDMX),Tablets,Google Pixel Slate,799,0.3,5,3995,1198.5
93,2024,1,13,13/01/2023,Uruguay,Salto,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
94,2024,1,14,14/01/2023,Ecuador,Quito,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
95,2024,1,6,06/01/2023,Perú,Trujillo,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6
96,2024,1,21,21/01/2023,Perú,Lima,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58
97,2024,1,25,25/01/2023,Ecuador,Quito,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
98,2024,1,14,14/01/2023,Paraguay,Asunción,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.6
99,2024,1,2,02/01/2023,Ecuador,Cuenca,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
100,2024,1,1,01/01/2023,Venezuela,Valencia,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
101,2024,1,19,19/01/2023,Uruguay,Ciudad de la Costa,Auriculares,Razer Opus,224,0.11,5,1120,123.2
102,2024,1,23,23/01/2023,Uruguay,Ciudad de la Costa,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44
103,2024,1,28,28/01/2023,Panamá,Colón,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
104,2024,1,26,26/01/2023,Argentina,Buenos Aires,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
105,2024,1,15,15/01/2023,Perú,Lima,Tablets,Xiaomi Mi Pad 5,449,0.26,4,1796,466.96
106,2024,1,30,30/01/2023,Colombia,Medellín,Smartphones,iPhone 13,1099,0.19,3,3297,626.43
107,2024,1,25,25/01/2023,Bolivia,Santa Cruz de la Sierra,Tablets,iPad Air,649,0.33,3,1947,642.51
108,2024,1,7,07/01/2023,Ecuador,Guayaquil,Tablets,Lenovo Tab P11 Pro,549,0.3,2,1098,329.4
109,2024,1,22,22/01/2023,Colombia,Medellín,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
110,2024,1,1,01/01/2023,Ecuador,Guayaquil,Smartphones,Sony Xperia 1 III,1199,0.1,4,4796,479.6
111,2024,1,6,06/01/2023,Costa Rica,San José,Laptops,Razer Blade 15,2649,0.33,4,10596,3496.68
112,2024,1,11,11/01/2023,Uruguay,Salto,Tablets,Google Pixel Slate,799,0.3,1,799,239.7
113,2024,1,29,29/01/2023,Venezuela,Maracaibo,Smartphones,Xiaomi Mi 11,699,0.2,3,2097,419.4
114,2024,1,10,10/01/2023,Paraguay,Encarnación,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
115,2024,1,4,04/01/2023,Chile,Concepción,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.2
116,2024,1,1,01/01/2023,Venezuela,Caracas,Smartphones,LG Velvet,649,0.12,2,1298,155.76
117,2024,1,5,05/01/2023,Perú,Trujillo,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.81
118,2024,1,11,11/01/2023,Perú,Trujillo,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
119,2024,1,19,19/01/2023,Colombia,Medellín,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.81
120,2024,1,21,21/01/2023,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
121,2024,1,19,19/01/2023,Brasil,São Paulo,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
122,2024,1,10,10/01/2023,Colombia,Bogotá,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
123,2024,1,3,03/01/2023,Colombia,Medellín,Auriculares,Sennheiser Momentum 3,324,0.32,4,1296,414.72
124,2024,1,12,12/01/2023,Costa Rica,Limón,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
125,2024,1,11,11/01/2023,Ecuador,Quito,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
126,2024,1,21,21/01/2023,Chile,Santiago,Auriculares,Apple AirPods Pro,224,0.26,4,896,232.96
127,2024,1,29,29/01/2023,México,Ciudad de México (CDMX),Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72
128,2024,1,28,28/01/2023,Perú,Arequipa,Tablets,Microsoft Surface Pro 7,999,0.35,2,1998,699.3
129,2024,1,8,08/01/2023,Ecuador,Guayaquil,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
130,2024,1,24,24/01/2023,Venezuela,Caracas,Auriculares,Sony WH-1000XM4,324,0.27,5,1620,437.4
131,2024,1,24,24/01/2023,México,Ciudad de México (CDMX),Tablets,Amazon Fire HD 10,199,0.31,1,199,61.69
132,2024,1,28,28/01/2023,Paraguay,Ciudad del Este,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
133,2024,1,15,15/01/2023,Paraguay,Encarnación,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
134,2024,1,11,11/01/2023,Chile,Valparaíso,Tablets,iPad Air,649,0.33,5,3245,1070.85
135,2024,1,28,28/01/2023,Ecuador,Guayaquil,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
136,2024,1,31,31/01/2023,Panamá,Ciudad de Panamá,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
137,2024,1,10,10/01/2023,Bolivia,Santa Cruz de la Sierra,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
138,2024,1,28,28/01/2023,Uruguay,Montevideo,Laptops,Microsoft Surface Laptop 4,1649,0.27,4,6596,1780.92
139,2024,1,24,24/01/2023,Ecuador,Quito,Tablets,ASUS ZenPad 3S 10,399,0.2,5,1995,399
140,2024,1,24,24/01/2023,Uruguay,Montevideo,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
141,2024,1,25,25/01/2023,Perú,Arequipa,Tablets,iPad Air,649,0.33,4,2596,856.68
142,2024,1,24,24/01/2023,Brasil,Río de Janeiro,Tablets,Xiaomi Mi Pad 5,449,0.26,3,1347,350.22
143,2024,1,29,29/01/2023,Chile,Santiago,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.4
144,2024,1,12,12/01/2023,Chile,Valparaíso,Auriculares,Razer Opus,224,0.11,3,672,73.92
145,2024,1,24,24/01/2023,Costa Rica,San José,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
146,2024,1,29,29/01/2023,Ecuador,Cuenca,Auriculares,Microsoft Surface Earbuds,224,0.14,3,672,94.08
147,2024,1,8,08/01/2023,Colombia,Cali,Laptops,Dell XPS 13,1399,0.35,4,5596,1958.6
148,2024,1,14,14/01/2023,Costa Rica,Heredia,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
149,2024,1,14,14/01/2023,Costa Rica,Heredia,Auriculares,Beats Studio3,274,0.13,3,822,106.86
150,2024,1,1,01/01/2023,Bolivia,La Paz,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
151,2024,1,6,06/01/2023,Ecuador,Cuenca,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.1
152,2024,1,7,07/01/2023,Perú,Trujillo,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.6
153,2024,1,15,15/01/2023,Brasil,São Paulo,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
154,2024,1,21,21/01/2023,Chile,Santiago,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
155,2024,1,21,21/01/2023,Paraguay,Ciudad del Este,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
156,2024,1,1,01/01/2023,Paraguay,Ciudad del Este,Smartphones,Sony Xperia 1 III,1199,0.1,2,2398,239.8
157,2024,1,7,07/01/2023,Brasil,São Paulo,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44
158,2024,1,21,21/01/2023,México,Monterrey,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
159,2024,1,28,28/01/2023,Panamá,Ciudad de Panamá,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
160,2024,1,7,07/01/2023,Perú,Lima,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
161,2024,1,18,18/01/2023,Venezuela,Valencia,Tablets,Amazon Fire HD 10,199,0.31,5,995,308.45
162,2024,1,7,07/01/2023,Perú,Trujillo,Smartphones,Huawei P40 Pro,899,0.34,4,3596,1222.64
163,2024,1,26,26/01/2023,Brasil,São Paulo,Smartphones,OnePlus 9,799,0.32,1,799,255.68
164,2024,1,31,31/01/2023,Colombia,Cali,Smartphones,Oppo Find X3 Pro,1049,0.23,5,5245,1206.35
165,2024,1,28,28/01/2023,Panamá,David,Tablets,Microsoft Surface Pro 7,999,0.35,2,1998,699.3
166,2024,1,9,09/01/2023,Bolivia,La Paz,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
167,2024,1,6,06/01/2023,Ecuador,Guayaquil,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849
168,2024,1,29,29/01/2023,Brasil,Río de Janeiro,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
169,2024,1,16,16/01/2023,Costa Rica,Limón,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
170,2024,1,23,23/01/2023,Costa Rica,Heredia,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
171,2024,1,5,05/01/2023,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
172,2024,1,14,14/01/2023,Uruguay,Montevideo,Smartphones,Google Pixel 6,749,0.28,3,2247,629.16
173,2024,1,13,13/01/2023,Venezuela,Caracas,Laptops,ASUS ZenBook 14,1149,0.29,1,1149,333.21
174,2024,1,14,14/01/2023,Argentina,Buenos Aires,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
175,2024,1,26,26/01/2023,Colombia,Cali,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
176,2024,1,17,17/01/2023,Ecuador,Cuenca,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
177,2024,1,22,22/01/2023,Bolivia,La Paz,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
178,2024,1,9,09/01/2023,Brasil,Río de Janeiro,Laptops,Gigabyte Aero 15 OLED,2599,0.11,4,10396,1143.56
179,2024,1,1,01/01/2023,Costa Rica,Limón,Auriculares,Beats Studio3,274,0.13,1,274,35.62
180,2024,1,12,12/01/2023,Brasil,Río de Janeiro,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51
181,2024,1,13,13/01/2023,Venezuela,Maracaibo,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
182,2024,1,31,31/01/2023,Bolivia,La Paz,Laptops,HP Spectre x360,1799,0.25,4,7196,1799
183,2024,1,19,19/01/2023,Bolivia,La Paz,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
184,2024,1,21,21/01/2023,Paraguay,Asunción,Auriculares,Audio-Technica ATH-M50x,174,0.32,4,696,222.72
185,2024,1,5,05/01/2023,Perú,Lima,Smartphones,Xiaomi Mi 11,699,0.2,2,1398,279.6
186,2024,1,8,08/01/2023,Perú,Lima,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58
187,2024,1,15,15/01/2023,Panamá,Ciudad de Panamá,Laptops,Razer Blade 15,2649,0.33,1,2649,874.17
188,2024,1,14,14/01/2023,Panamá,Ciudad de Panamá,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
189,2024,1,7,07/01/2023,Chile,Valparaíso,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
190,2024,1,31,31/01/2023,Venezuela,Maracaibo,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
191,2024,1,4,04/01/2023,Ecuador,Guayaquil,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6
192,2024,1,12,12/01/2023,Ecuador,Guayaquil,Tablets,Xiaomi Mi Pad 5,449,0.26,5,2245,583.7
193,2024,1,27,27/01/2023,Colombia,Bogotá,Smartphones,LG Velvet,649,0.12,5,3245,389.4
194,2024,1,1,01/01/2023,Chile,Santiago,Laptops,MacBook Pro 14,2999,0.19,5,14995,2849.05
195,2024,1,10,10/01/2023,Costa Rica,Heredia,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
196,2024,1,18,18/01/2023,Brasil,Río de Janeiro,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
197,2024,1,1,01/01/2023,Chile,Santiago,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
198,2024,1,26,26/01/2023,Panamá,Colón,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
199,2024,1,22,22/01/2023,Bolivia,Santa Cruz de la Sierra,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
200,2024,1,11,11/01/2023,Brasil,Brasilia,Smartphones,Google Pixel 6,749,0.28,1,749,209.72
201,2024,1,3,03/01/2023,Paraguay,Ciudad del Este,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
202,2024,1,7,07/01/2023,Bolivia,La Paz,Auriculares,Sony WH-1000XM4,324,0.27,4,1296,349.92
203,2024,1,14,14/01/2023,Chile,Valparaíso,Smartphones,Motorola Edge 20 Pro,849,0.2,4,3396,679.2
204,2024,1,16,16/01/2023,Panamá,David,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
205,2024,1,31,31/01/2023,México,Monterrey,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
206,2024,1,5,05/01/2023,México,Ciudad de México (CDMX),Auriculares,Razer Opus,224,0.11,1,224,24.64
207,2024,1,27,27/01/2023,Costa Rica,San José,Tablets,iPad Air,649,0.33,1,649,214.17
208,2024,1,20,20/01/2023,Costa Rica,Heredia,Tablets,iPad Air,649,0.33,2,1298,428.34
209,2024,1,25,25/01/2023,Costa Rica,Heredia,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
210,2024,1,5,05/01/2023,Ecuador,Quito,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
211,2024,1,1,01/01/2023,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39
212,2024,1,23,23/01/2023,Panamá,Colón,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72
213,2024,1,6,06/01/2023,Brasil,Río de Janeiro,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
214,2024,1,18,18/01/2023,Bolivia,La Paz,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
215,2024,1,3,03/01/2023,Uruguay,Montevideo,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.2
216,2024,1,25,25/01/2023,México,Ciudad de México (CDMX),Laptops,Dell XPS 13,1399,0.35,1,1399,489.65
217,2024,1,21,21/01/2023,México,Ciudad de México (CDMX),Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
218,2024,1,29,29/01/2023,Colombia,Bogotá,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
219,2024,1,18,18/01/2023,Uruguay,Salto,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6
220,2024,1,19,19/01/2023,Brasil,Río de Janeiro,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48
221,2024,1,7,07/01/2023,Uruguay,Ciudad de la Costa,Smartphones,Google Pixel 6,749,0.28,4,2996,838.88
222,2024,1,15,15/01/2023,Chile,Concepción,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88
223,2024,1,20,20/01/2023,Bolivia,Santa Cruz de la Sierra,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
224,2024,1,31,31/01/2023,Paraguay,Asunción,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.1
225,2024,1,1,01/01/2023,Brasil,São Paulo,Smartphones,Huawei P40 Pro,899,0.34,5,4495,1528.3
226,2024,1,8,08/01/2023,Costa Rica,Heredia,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
227,2024,1,7,07/01/2023,Brasil,São Paulo,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
228,2024,1,1,01/01/2023,Perú,Lima,Tablets,LG G Pad 5 10.1,249,0.33,2,498,164.34
229,2024,1,12,12/01/2023,Colombia,Bogotá,Smartphones,Xiaomi Mi 11,699,0.2,2,1398,279.6
230,2024,1,15,15/01/2023,Chile,Santiago,Tablets,iPad Air,649,0.33,1,649,214.17
231,2024,1,29,29/01/2023,Colombia,Medellín,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
